1	2
2	3
3	4
4	5
3	7
5	7
5	6
7	8
8	9
8	22
9	10
9	22
10	11
11	12
12	15
11	16
15	16
12	13
11	14
16	17
16	18
18	19
18	21
19	21
19	20
21	40
22	23
21	23
21	24
23	24
23	25
24	25
25	26
25	27
26	27
27	28
28	29
28	30
30	31
31	32
32	33
31	34
34	35
35	37
36	37
36	38
36	39
38	39
37	59
38	60
39	62
40	41
41	42
41	43
42	43
42	44
43	44
44	45
44	46
37	47
46	47
45	50
49	50
48	49
47	48
50	51
51	52
51	53
52	53
53	55
49	55
58	56
55	56
56	57
55	76
66	67
53	66
53	54
66	68
53	69
68	69
69	70
70	76
70	71
70	72
71	73
72	75
73	74
73	75
73	76
75	78
76	77
77	78
78	100
72	79
95	96
79	95
96	97
97	98
97	99
98	99
98	100
79	94
93	94
92	93
79	80
100	101
101	102
102	103
103	104
104	105
102	106
105	106
106	107
93	100
107	108
107	109
108	109
80	91
90	91
91	92
92	118
92	109
109	110
110	111
111	112
112	113
113	114
114	115
114	116
116	117
116	118
81	90
83	88
84	87
88	90
88	89
87	88
87	115
87	89
89	120
118	120
118	119
57	58
57	59
59	60
58	61
60	61
61	63
61	64
64	77
64	80
61	81
62	65
63	82
80	81
81	82
82	83
65	83
83	84
65	85
84	85
85	86
35	36
62	63
